Date,Max,Min,Avg
1/1/2010,68,41,54.5
1/2/2010,71,45,58
1/3/2010,71,42,56.5
1/4/2010,74,45,59.5
1/5/2010,73,45,59
1/6/2010,69,44,56.5
1/7/2010,69,48,58.5
1/8/2010,70,44,57
1/9/2010,70,45,57.5
1/10/2010,71,46,58.5
1/11/2010,73,44,58.5
1/12/2010,75,47,61
1/13/2010,72,54,63
1/14/2010,73,48,60.5
1/15/2010,74,48,61
1/16/2010,70,53,61.5
1/17/2010,69,49,59
1/18/2010,59,51,55
1/19/2010,68,52,60
1/20/2010,64,47,55.5
1/21/2010,61,51,56
1/22/2010,60,47,53.5
1/23/2010,57,46,51.5
1/24/2010,58,41,49.5
1/25/2010,62,42,52
1/26/2010,67,46,56.5
1/27/2010,63,52,57.5
1/28/2010,64,51,57.5
1/29/2010,67,50,58.5
1/30/2010,68,50,59
1/31/2010,69,47,58
2/1/2010,67,49,58
2/2/2010,73,52,62.5
2/3/2010,71,54,62.5
2/4/2010,68,50,59
2/5/2010,70,50,60
2/6/2010,69,51,60
2/7/2010,63,49,56
2/8/2010,64,47,55.5
2/9/2010,66,46,56
2/10/2010,60,50,55
2/11/2010,64,44,54
2/12/2010,68,47,57.5
2/13/2010,73,48,60.5
2/14/2010,76,49,62.5
2/15/2010,76,52,64
2/16/2010,77,54,65.5
2/17/2010,78,51,64.5
2/18/2010,75,51,63
2/19/2010,76,51,63.5
2/20/2010,61,51,56
2/21/2010,64,51,57.5
2/22/2010,61,47,54
2/23/2010,62,41,51.5
2/24/2010,68,49,58.5
2/25/2010,72,51,61.5
2/26/2010,70,51,60.5
2/27/2010,71,53,62
2/28/2010,59,50,54.5
3/1/2010,67,48,57.5
3/2/2010,74,51,62.5
3/3/2010,73,51,62
3/4/2010,70,51,60.5
3/5/2010,71,49,60
3/6/2010,77,53,65
3/7/2010,61,48,54.5
3/8/2010,58,47,52.5
3/9/2010,59,49,54
3/10/2010,61,44,52.5
3/11/2010,62,45,53.5
3/12/2010,69,46,57.5
3/13/2010,72,49,60.5
3/14/2010,66,51,58.5
3/15/2010,76,51,63.5
3/16/2010,81,55,68
3/17/2010,85,56,70.5
3/18/2010,83,56,69.5
3/19/2010,77,58,67.5
3/20/2010,73,57,65
3/21/2010,78,51,64.5
3/22/2010,83,54,68.5
3/23/2010,68,56,62
3/24/2010,73,54,63.5
3/25/2010,78,52,65
3/26/2010,75,53,64
3/27/2010,76,51,63.5
3/28/2010,80,53,66.5
3/29/2010,84,55,69.5
3/30/2010,87,56,71.5
3/31/2010,84,59,71.5
4/1/2010,68,55,61.5
4/2/2010,70,50,60
4/3/2010,79,53,66
4/4/2010,83,55,69
4/5/2010,81,58,69.5
4/6/2010,78,57,67.5
4/7/2010,77,59,68
4/8/2010,86,56,71
4/9/2010,86,57,71.5
4/10/2010,88,58,73
4/11/2010,89,59,74
4/12/2010,83,61,72
4/13/2010,75,58,66.5
4/14/2010,83,56,69.5
4/15/2010,91,59,75
4/16/2010,85,64,74.5
4/17/2010,90,60,75
4/18/2010,96,68,82
4/19/2010,88,68,78
4/20/2010,89,66,77.5
4/21/2010,77,58,67.5
4/22/2010,67,53,60
4/23/2010,72,52,62
4/24/2010,81,56,68.5
4/25/2010,89,59,74
4/26/2010,92,62,77
4/27/2010,95,64,79.5
4/28/2010,91,68,79.5
4/29/2010,73,59,66
4/30/2010,74,52,63
5/1/2010,81,56,68.5
5/2/2010,82,60,71
5/3/2010,84,57,70.5
5/4/2010,92,60,76
5/5/2010,98,65,81.5
5/6/2010,94,65,79.5
5/7/2010,95,67,81
5/8/2010,97,68,82.5
5/9/2010,94,70,82
5/10/2010,83,61,72
5/11/2010,78,63,70.5
5/12/2010,82,56,69
5/13/2010,87,63,75
5/14/2010,91,66,78.5
5/15/2010,95,68,81.5
5/16/2010,98,68,83
5/17/2010,97,69,83
5/18/2010,88,68,78
5/19/2010,94,66,80
5/20/2010,98,68,83
5/21/2010,101,72,86.5
5/22/2010,91,72,81.5
5/23/2010,79,62,70.5
5/24/2010,80,58,69
5/25/2010,90,61,75.5
5/26/2010,95,65,80
5/27/2010,97,67,82
5/28/2010,98,71,84.5
5/29/2010,94,70,82
5/30/2010,98,68,83
5/31/2010,100,70,85
6/1/2010,99,71,85
6/2/2010,97,71,84
6/3/2010,100,74,87
6/4/2010,103,76,89.5
6/5/2010,107,80,93.5
6/6/2010,109,83,96
6/7/2010,108,82,95
6/8/2010,107,81,94
6/9/2010,106,82,94
