Date,Max,Min,Avg
1/1/2019,51,38,44.5
1/2/2019,52,30,41
1/3/2019,57,33,45
1/4/2019,67,37,52
1/5/2019,67,45,56
1/6/2019,55,47,51
1/7/2019,63,43,53
1/8/2019,72,43,57.5
1/9/2019,73,48,60.5
1/10/2019,67,50,58.5
1/11/2019,66,45,55.5
1/12/2019,69,47,58
1/13/2019,63,47,55
1/14/2019,70,51,60.5
1/15/2019,65,53,59
1/16/2019,69,50,59.5
1/17/2019,69,48,58.5
1/18/2019,70,51,60.5
1/19/2019,71,44,57.5
1/20/2019,74,46,60
1/21/2019,68,49,58.5
1/22/2019,64,43,53.5
1/23/2019,62,38,50
1/24/2019,69,39,54
1/25/2019,69,40,54.5
1/26/2019,72,41,56.5
1/27/2019,73,45,59
1/28/2019,72,47,59.5
1/29/2019,71,51,61
1/30/2019,74,55,64.5
1/31/2019,73,51,62
2/1/2019,75,54,64.5
2/2/2019,73,56,64.5
2/3/2019,67,56,61.5
2/4/2019,66,55,60.5
2/5/2019,67,50,58.5
2/6/2019,56,42,49
2/7/2019,57,36,46.5
2/8/2019,67,38,52.5
2/9/2019,59,44,51.5
2/10/2019,66,38,52
2/11/2019,59,43,51
2/12/2019,69,38,53.5
2/13/2019,67,49,58
2/14/2019,61,56,58.5
2/15/2019,67,52,59.5
2/16/2019,63,49,56
2/17/2019,60,41,50.5
2/18/2019,55,43,49
2/19/2019,57,36,46.5
2/20/2019,58,34,46
2/21/2019,54,40,47
2/22/2019,47,38,42.5
2/23/2019,55,36,45.5
2/24/2019,64,37,50.5
2/25/2019,67,41,54
2/26/2019,72,43,57.5
2/27/2019,76,54,65
2/28/2019,77,51,64
3/1/2019,78,56,67
3/2/2019,76,57,66.5
3/3/2019,75,52,63.5
3/4/2019,74,52,63
3/5/2019,80,53,66.5
3/6/2019,85,58,71.5
3/7/2019,75,58,66.5
3/8/2019,69,54,61.5
3/9/2019,66,46,56
3/10/2019,70,48,59
3/11/2019,68,52,60
3/12/2019,59,51,55
3/13/2019,67,50,58.5
3/14/2019,65,44,54.5
3/15/2019,75,48,61.5
3/16/2019,79,60,69.5
3/17/2019,79,59,69
3/18/2019,83,57,70
3/19/2019,85,59,72
3/20/2019,83,60,71.5
3/21/2019,70,57,63.5
3/22/2019,74,50,62
3/23/2019,78,54,66
3/24/2019,81,53,67
3/25/2019,87,54,70.5
3/26/2019,87,58,72.5
3/27/2019,82,62,72
3/28/2019,86,57,71.5
3/29/2019,82,57,69.5
3/30/2019,83,55,69
3/31/2019,81,55,68
4/1/2019,83,58,70.5
4/2/2019,88,58,73
4/3/2019,79,63,71
4/4/2019,85,60,72.5
4/5/2019,82,58,70
4/6/2019,82,65,73.5
4/7/2019,89,61,75
4/8/2019,97,63,80
4/9/2019,97,66,81.5
4/10/2019,77,60,68.5
4/11/2019,78,55,66.5
4/12/2019,76,64,70
4/13/2019,80,55,67.5
4/14/2019,86,58,72
4/15/2019,89,62,75.5
4/16/2019,82,61,71.5
4/17/2019,79,57,68
4/18/2019,92,60,76
4/19/2019,99,65,82
4/20/2019,94,70,82
4/21/2019,90,67,78.5
4/22/2019,88,62,75
4/23/2019,86,64,75
4/24/2019,94,65,79.5
4/25/2019,99,68,83.5
4/26/2019,100,71,85.5
4/27/2019,98,71,84.5
4/28/2019,97,69,83
4/29/2019,87,63,75
4/30/2019,83,61,72
5/1/2019,88,65,76.5
5/2/2019,88,64,76
5/3/2019,94,65,79.5
5/4/2019,95,66,80.5
5/5/2019,94,67,80.5
5/6/2019,86,67,76.5
5/7/2019,80,60,70
5/8/2019,88,65,76.5
5/9/2019,90,64,77
5/10/2019,87,66,76.5
5/11/2019,87,64,75.5
5/12/2019,86,65,75.5
5/13/2019,91,65,78
5/14/2019,98,71,84.5
5/15/2019,100,73,86.5
5/16/2019,94,73,83.5
5/17/2019,81,61,71
5/18/2019,86,62,74
5/19/2019,81,68,74.5
5/20/2019,77,60,68.5
5/21/2019,83,57,70
5/22/2019,77,60,68.5
5/23/2019,76,54,65
5/24/2019,88,59,73.5
5/25/2019,94,63,78.5
5/26/2019,85,66,75.5
5/27/2019,79,65,72
5/28/2019,84,61,72.5
5/29/2019,91,65,78
5/30/2019,96,71,83.5
5/31/2019,99,72,85.5
6/1/2019,98,72,85
6/2/2019,96,76,86
6/3/2019,98,74,86
6/4/2019,98,74,86
6/5/2019,102,76,89
6/6/2019,103,77,90
6/7/2019,102,79,90.5
6/8/2019,100,73,86.5
6/9/2019,105,75,90
6/10/2019,109,81,95
6/11/2019,108,84,96
6/12/2019,112,80,96
6/13/2019,107,82,94.5
6/14/2019,105,77,91
6/15/2019,105,77,91
6/16/2019,107,80,93.5
6/17/2019,105,82,93.5
6/18/2019,104,79,91.5
6/19/2019,104,76,90
6/20/2019,104,76,90
6/21/2019,103,77,90
6/22/2019,99,77,88
6/23/2019,100,76,88
6/24/2019,103,75,89
6/25/2019,105,76,90.5
6/26/2019,104,78,91
6/27/2019,104,79,91.5
6/28/2019,110,80,95
6/29/2019,111,86,98.5
6/30/2019,110,89,99.5
7/1/2019,110,87,98.5
7/2/2019,108,84,96
7/3/2019,108,82,95
7/4/2019,107,78,92.5
7/5/2019,105,79,92
7/6/2019,106,81,93.5
7/7/2019,109,86,97.5
7/8/2019,105,76,90.5
7/9/2019,105,76,90.5
7/10/2019,111,84,97.5
7/11/2019,114,90,102
7/12/2019,112,91,101.5
7/13/2019,110,92,101
7/14/2019,109,92,100.5
7/15/2019,114,89,101.5
7/16/2019,115,89,102
7/17/2019,106,90,98
7/18/2019,107,86,96.5
7/19/2019,108,86,97
7/20/2019,108,84,96
7/21/2019,109,86,97.5
7/22/2019,104,81,92.5
7/23/2019,107,83,95
7/24/2019,102,80,91
7/25/2019,108,88,98
7/26/2019,110,90,100
7/27/2019,113,93,103
7/28/2019,111,92,101.5
7/29/2019,110,92,101
7/30/2019,107,76,91.5
7/31/2019,97,76,86.5
8/1/2019,105,83,94
8/2/2019,110,90,100
8/3/2019,114,83,98.5
8/4/2019,111,86,98.5
8/5/2019,115,89,102
8/6/2019,102,89,95.5
8/7/2019,107,88,97.5
8/8/2019,108,86,97
8/9/2019,101,89,95
8/10/2019,103,86,94.5
8/11/2019,105,83,94
8/12/2019,106,89,97.5
8/13/2019,110,83,96.5
8/14/2019,114,83,98.5
8/15/2019,114,85,99.5
8/16/2019,111,85,98
8/17/2019,108,86,97
8/18/2019,105,84,94.5
8/19/2019,109,81,95
8/20/2019,113,83,98
8/21/2019,114,85,99.5
8/22/2019,110,85,97.5
8/23/2019,105,86,95.5
8/24/2019,102,85,93.5
8/25/2019,103,85,94
8/26/2019,107,88,97.5
8/27/2019,111,91,101
8/28/2019,109,79,94
8/29/2019,106,80,93
8/30/2019,109,86,97.5
8/31/2019,107,86,96.5
