Date,Max,Min,Avg,,,,,,,,,,,
8/1/2019,105,83,94,,,,,,,,,,,
8/2/2019,110,90,100,,,,,,,,,,,
8/3/2019,114,83,98.5,,,,,,,,,,,
8/4/2019,111,86,98.5,,,,,,,,,,,
8/5/2019,115,89,102,,,,,,,,,,,
8/6/2019,102,89,95.5,,,,,,,,,,,
8/7/2019,107,88,97.5,,,,,,,,,,,
8/8/2019,108,86,97,,,,,,,,,,,
8/9/2019,101,89,95,,,,,,,,,,,
8/10/2019,103,86,94.5,,,,,,,,,,,
8/11/2019,105,83,94,,,,,,,,,,,
8/12/2019,106,89,97.5,,,,,,,,,,,
8/13/2019,110,83,96.5,,,,,,,,,,,
8/14/2019,114,83,98.5,,,,,,,,,,,
8/15/2019,114,85,99.5,,,,,,,,,,,
8/16/2019,111,85,98,,,,,,,,,,,
8/17/2019,108,86,97,,,,,,,,,,,
8/18/2019,105,84,94.5,,,,,,,,,,,
8/19/2019,109,81,95,,,,,,,,,,,
8/20/2019,113,83,98,,,,,,,,,,,
8/21/2019,114,85,99.5,,,,,,,,,,,
8/22/2019,110,85,97.5,,,,,,,,,,,
8/23/2019,105,86,95.5,,,,,,,,,,,
8/24/2019,102,85,93.5,,,,,,,,,,,
8/25/2019,103,85,94,,,,,,,,,,,
8/26/2019,107,88,97.5,,,,,,,,,,,
8/27/2019,111,91,101,,,,,,,,,,,
8/28/2019,109,79,94,,,,,,,,,,,
8/29/2019,106,80,93,,,,,,,,,,,
8/30/2019,109,86,97.5,,,,,,,,,,,
8/31/2019,107,86,96.5,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
